month,monthly_sales
2014-01,4907.168000000001
2014-02,3243.222
2014-03,8048.772999999998
2014-04,15975.242999999995
2014-05,9288.864
2014-06,17149.813999999995
2014-07,8620.503
2014-08,16572.407999999992
2014-09,32767.243
2014-10,6972.439
2014-11,32486.426199999994
2014-12,21480.790499999996
2015-01,6528.375600000001
2015-02,4241.373999999999
2015-03,10026.6074
2015-04,8101.935999999999
2015-05,8962.022
2015-06,8997.462
2015-07,10520.376999999999
2015-08,10391.039199999997
2015-09,13752.122000000001
2015-10,12055.128499999995
2015-11,37278.46200000001
2015-12,30972.008999999984
2016-01,6836.848000000003
2016-02,16766.74
2016-03,27291.519
2016-04,15780.721
2016-05,14421.305
2016-06,16628.531999999992
2016-07,13010.171999999999
2016-08,8919.9245
2016-09,40845.60659999999
2016-10,29835.918999999994
2016-11,32947.98079999999
2016-12,45066.34599999999
2017-01,10998.671
2017-02,7256.763999999999
2017-03,10985.447999999999
2017-04,18855.2105
2017-05,19217.536799999994
2017-06,17349.232
2017-07,15750.513999999996
2017-08,14208.481999999998
2017-09,36545.98599999999
2017-10,29693.931000000004
2017-11,47010.854
2017-12,42135.384000000005
